date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:19:23	18202/18202	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Aug%202021%2000:56:42%20GMT	https://demo.htmlcodex.com/pro/startup/	C:/Users/ELITEBOOK%20840%20G4/Desktop/new%20work/demo.htmlcodex.com/pro/startup/index.html	(from )
18:19:24	633/633	---MCZ	200	added ('OK')	text/plain	date:Sun,%2012%20Oct%202025%2017:19:23%20GMT	https://demo.htmlcodex.com/robots.txt		(from )
18:19:24	746/746	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Jun%202022%2019:37:32%20GMT	https://demo.htmlcodex.com/pro/startup/img/favicon.ico	C:/Users/ELITEBOOK%20840%20G4/Desktop/new%20work/demo.htmlcodex.com/pro/startup/img/favicon.ico	(from https://demo.htmlcodex.com/pro/startup/)
18:19:26	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-dcc5%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	C:/Users/ELITEBOOK%20840%20G4/Desktop/new%20work/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	(from https://demo.htmlcodex.com/pro/startup/)
18:19:27	17603/17603	---M-Z	200	added ('OK')	text/css	date:Sun,%2008%20Aug%202021%2018:28:50%20GMT	https://demo.htmlcodex.com/pro/startup/css/style.css	C:/Users/ELITEBOOK%20840%20G4/Desktop/new%20work/demo.htmlcodex.com/pro/startup/css/style.css	(from https://demo.htmlcodex.com/pro/startup/)
18:19:28	164222/164222	---MCZ	200	added ('OK')	text/css	date:Sat,%2007%20Aug%202021%2016:33:36%20GMT	https://demo.htmlcodex.com/pro/startup/css/bootstrap.min.css	C:/Users/ELITEBOOK%20840%20G4/Desktop/new%20work/demo.htmlcodex.com/pro/startup/css/bootstrap.min.css	(from https://demo.htmlcodex.com/pro/startup/)
18:19:34	65244/65244	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Aug%202021%2001:33:40%20GMT	https://demo.htmlcodex.com/pro/startup/index-1.html	C:/Users/ELITEBOOK%20840%20G4/Desktop/new%20work/demo.htmlcodex.com/pro/startup/index-1.html	(from https://demo.htmlcodex.com/pro/startup/)
18:19:34	70534/70534	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Aug%202021%2001:34:18%20GMT	https://demo.htmlcodex.com/pro/startup/index-2.html	C:/Users/ELITEBOOK%20840%20G4/Desktop/new%20work/demo.htmlcodex.com/pro/startup/index-2.html	(from https://demo.htmlcodex.com/pro/startup/)
18:19:41	31278/31278	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Aug%202021%2018:20:36%20GMT	https://demo.htmlcodex.com/pro/startup/img/demo/about-1.jpg	C:/Users/ELITEBOOK%20840%20G4/Desktop/new%20work/demo.htmlcodex.com/pro/startup/img/demo/about-1.jpg	(from https://demo.htmlcodex.com/pro/startup/)
18:19:41	32996/32996	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Aug%202021%2001:34:30%20GMT	https://demo.htmlcodex.com/pro/startup/about-1.html	C:/Users/ELITEBOOK%20840%20G4/Desktop/new%20work/demo.htmlcodex.com/pro/startup/about-1.html	(from https://demo.htmlcodex.com/pro/startup/)
18:19:42	35810/35810	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Aug%202021%2001:34:46%20GMT	https://demo.htmlcodex.com/pro/startup/about-2.html	C:/Users/ELITEBOOK%20840%20G4/Desktop/new%20work/demo.htmlcodex.com/pro/startup/about-2.html	(from https://demo.htmlcodex.com/pro/startup/)
18:19:45	28882/28882	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Aug%202021%2001:35:02%20GMT	https://demo.htmlcodex.com/pro/startup/service-1.html	C:/Users/ELITEBOOK%20840%20G4/Desktop/new%20work/demo.htmlcodex.com/pro/startup/service-1.html	(from https://demo.htmlcodex.com/pro/startup/)
18:19:47	31186/31186	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Aug%202021%2018:20:22%20GMT	https://demo.htmlcodex.com/pro/startup/img/demo/about-2.jpg	C:/Users/ELITEBOOK%20840%20G4/Desktop/new%20work/demo.htmlcodex.com/pro/startup/img/demo/about-2.jpg	(from https://demo.htmlcodex.com/pro/startup/)
18:19:49	29161/29161	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Aug%202021%2001:35:16%20GMT	https://demo.htmlcodex.com/pro/startup/service-2.html	C:/Users/ELITEBOOK%20840%20G4/Desktop/new%20work/demo.htmlcodex.com/pro/startup/service-2.html	(from https://demo.htmlcodex.com/pro/startup/)
18:19:49	25542/25542	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Aug%202021%2018:20:06%20GMT	https://demo.htmlcodex.com/pro/startup/img/demo/service-1.jpg	C:/Users/ELITEBOOK%20840%20G4/Desktop/new%20work/demo.htmlcodex.com/pro/startup/img/demo/service-1.jpg	(from https://demo.htmlcodex.com/pro/startup/)
18:19:53	215609/215609	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Aug%202021%2018:11:40%20GMT	https://demo.htmlcodex.com/pro/startup/img/demo/home-1.jpg	C:/Users/ELITEBOOK%20840%20G4/Desktop/new%20work/demo.htmlcodex.com/pro/startup/img/demo/home-1.jpg	(from https://demo.htmlcodex.com/pro/startup/)
18:19:53	29603/29603	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Aug%202021%2001:35:28%20GMT	https://demo.htmlcodex.com/pro/startup/service-3.html	C:/Users/ELITEBOOK%20840%20G4/Desktop/new%20work/demo.htmlcodex.com/pro/startup/service-3.html	(from https://demo.htmlcodex.com/pro/startup/)
18:20:06	27298/27298	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Aug%202021%2018:19:52%20GMT	https://demo.htmlcodex.com/pro/startup/img/demo/service-2.jpg	C:/Users/ELITEBOOK%20840%20G4/Desktop/new%20work/demo.htmlcodex.com/pro/startup/img/demo/service-2.jpg	(from https://demo.htmlcodex.com/pro/startup/)
